t-SNE Coordinate 1,t-SNE Coordinate 2,sigma
12.681618601,-13.8810141106,1699.6640625
-33.7317609243,-19.7494532176,66.4291992188
-23.9211206426,37.4048000174,28.3793945313
-6.7388086764,-19.6328877241,1359.875
-26.689501866,38.5744497784,35.1878662109
-24.1623005444,38.4338549059,21.8604736328
10.2487017968,-9.7440091842,1531.515625
-33.7389829824,-21.8064732989,107.421875
8.8441504329,3.8397395872,2477.9375
-10.4863414897,-28.6846412888,141.6196289063
-33.5068704661,-22.0988478658,111.6513671875
10.619200874,-4.8610719697,2513.8125
11.6841524965,-13.0939819399,2216.03125
11.1205725812,-11.4118793838,2289.609375
5.7914698519,-13.5006772594,1611.90625
-7.292823558,-2.9959503988,3793.78125
-10.5212895948,-30.6730316908,64.7102050781
-5.2594238811,-3.4054191209,3040.28125
0.4406316426,-12.4309392603,1686.1875
14.4806915199,17.9972537269,989.41796875
13.7785974712,-14.7839123,1770.015625
0.6564796285,-3.3382653519,3202.375
15.6012810747,-14.9629482348,2144.96875
14.4405391213,-15.0966215792,1772.25
-7.6435193686,-0.9673017927,2532.515625
3.7566608461,-1.967083099,3411.5
-23.0496611161,38.9869312555,26.0853271484
8.3121209312,-7.660842106,3305.875
-5.48377907,-17.9858593797,2119.921875
9.8748742228,-8.0912161874,2566.9375
-23.5631529915,39.7118951594,24.9298706055
-7.5687479885,-7.6841292609,3302.78125
14.3028301626,-9.6128957108,2475.59375
-9.2380714445,-5.8834078382,2248.3125
2.1675707346,-17.5859971253,3124.125
1.8785416669,5.7361043709,2659.1875
-9.8950571811,-32.0486886296,44.1723632813
6.0847433413,-14.6187867735,1258.6640625
2.1864082084,-0.2279836834,3407.78125
-22.4020958791,39.5706602977,23.5183105469
-8.3935288446,3.9885933503,2381.15625
-0.2794755921,-16.5448327268,1565.734375
7.9878605048,-29.26984127,25.8286132813
-9.0303260438,18.7067192275,1237.765625
-22.9700696495,39.9550353358,24.2679443359
10.4859960635,9.5176268681,2710.75
3.3508687731,-24.6346006606,1081.7109375
-31.7630574276,-21.7668814639,213.822265625
-12.7342061041,-28.6386605183,92.4072265625
-22.4545525959,37.948350491,23.8349609375
-23.1399411982,38.1998008234,25.7524414063
-35.867104977,-23.495673933,48.5031738281
5.8923835159,-15.3561709236,882.4296875
5.39449176,-27.4846623541,111.1999511719
19.766279334,-11.2604344669,2214.734375
31.220235409,4.2894127194,1488.8828125
-10.1439504568,4.2991572427,2286.265625
4.8324545,-26.5826679632,254.220703125
-0.3462203247,-11.5444543059,2420
-2.7827840501,-4.4926487463,2425.4375
10.0740781902,-6.2460534696,2127
8.542094352,-6.6066136399,2415.703125
0.5684561864,-10.756576302,2421.453125
11.0755045292,-14.5540309844,2221.4375
7.014908196,0.5180577099,3873.3125
16.9538511279,-6.9323624334,2228.0625
-20.2934068325,6.5417322053,2358.53125
17.484404808,-4.0732916316,2650.59375
-35.1874467773,-23.9652098227,51.0219726563
8.2591025944,-2.8372878649,3279.734375
-31.0476897521,-20.9253498638,224.720703125
24.4476996649,8.5775982081,2948
17.7753343143,-2.9881290655,3077.9375
-9.0817603902,5.9090175637,3009.8125
24.804641845,3.7767186392,2096.34375
11.8159449817,-4.2408648181,2577.578125
16.1450024412,16.0775269452,2099.75
-4.8384866517,-8.2014087272,3122.03125
7.1845806771,9.0484891623,2797.6875
-35.9658015435,-24.3287963176,49.8088378906
22.8864252545,-4.8498119201,1974.59375
-23.724878621,-0.1185097716,1724.46875
-2.7236244842,-10.2731706049,2060.59375
8.2753460961,-5.2181681912,2622.375
21.3067587928,-11.3193933872,2247.734375
-2.2060097788,-11.3941245388,1570.78125
-7.7255192142,-6.3087531966,3046.1875
6.3055075655,-12.6015322887,1987.78125
15.9073507629,4.561487987,2469.375
6.5219876057,-8.3691219284,2862.625
-36.6004897009,-23.794606739,47.7761230469
31.1244158449,2.3808827912,1398.59375
7.0165703552,7.1018335175,3111.25
-3.5603356924,-12.9854474456,1580.84375
-10.2288390138,-32.4038224263,40.2722167969
0.4056933936,-7.0312066467,1664.3125
-3.8779905713,-5.8749248266,3584.28125
-9.2342807906,-11.5049782201,1725.9375
0.6849570997,-5.6823126801,2308.03125
13.4221543404,7.650093537,3388.59375
-1.5239409251,-6.2875916175,2858.15625
-5.8909531059,22.5551611916,1050.140625
1.7281042837,9.6183329037,2413.78125
0.6141736104,-9.1063728379,2405.25
16.9357840622,-12.9537451432,2594.875
15.6589479164,5.2511585472,3360.59375
0.6295815372,-13.3396463565,2066.421875
-9.0699520447,-7.8595066659,2718.3125
-12.0453252099,0.1240819834,3055.5
13.2713647879,-12.9544335813,2668.46875
-32.0253382103,-20.1476225304,137.609375
-30.4460162909,-20.5928721913,245.3203125
16.387716897,7.9420305472,2070.78125
2.5230072411,6.4981993989,1384.3125
-2.1707550497,-8.4419649857,2334.046875
-4.0636905849,-13.9415737819,731.3203125
5.9777559436,-5.0659131877,1907.9765625
-30.5477891204,-20.7564289781,292.267578125
20.5974599543,-5.8526717584,2213.59375
-1.0493870617,-10.1239794603,1929.5
-14.6372320041,14.285894248,2046.71875
10.8892442147,12.3031611269,2181.015625
-35.9405403993,-22.3720795752,47.4079589844
8.6218719525,6.1633723465,3588.25
-11.1318440417,-9.4277877511,2661.8125
5.7836226648,-30.7197081561,23.6516113281
12.0314023511,-14.7030666981,1939.359375
15.8741647305,-5.6775842271,2340.4375
-4.3876661457,-17.5360740564,2270.40625
-20.0758424317,-2.8733229356,1869
-7.9070900866,7.6831523877,2705.5625
14.9703575508,-7.6430410924,2061.8125
19.2728140762,-5.1304243854,2453.9375
2.7803697699,-6.4291022112,3036.6875
14.9178560771,9.4780141797,1718.421875
24.8662166495,7.7383919909,2990.21875
7.5996769238,-2.3338723255,3568.59375
15.1337319465,17.6228102368,2017.09375
-22.0130198514,-3.7424831404,950.59375
-1.7431781119,-6.8126442242,2282.796875
-15.1536114513,12.4163737233,2080.1875
0.370508778,9.0483819537,3684.0625
18.1633918004,-15.1776395997,2430.0625
-23.0711947063,34.5449940931,36.2376708984
30.7505313575,2.8160473376,1652.0390625
17.9861949505,-5.0016594003,2802.84375
7.0684737481,-13.4145329603,2010.078125
-15.2132261468,-4.7289829857,2416.296875
-2.1750663633,6.9188599958,2732.75
-4.8944654191,-1.7734114429,1319.90625
-35.4003769292,-21.6532544908,53.6062011719
-0.9504234729,-13.8385967846,3109.21875
-7.7804107302,-12.2624674877,2467.4375
-5.8294577833,6.9064722209,3164.09375
-7.0110342719,-20.168094355,977.953125
-30.4533836552,-21.4001557937,298.2353515625
-22.8322316475,36.3432258621,30.677734375
6.8914960921,4.8077626611,2412.3125
6.6393772586,3.72545622,3510.875
-8.6553752661,-6.8646754078,2390.046875
-11.8001273339,-28.0718175799,87.0197753906
-9.4895173443,-32.5175751503,45.7021484375
-16.0470607014,-6.7317552889,2833.40625
15.6996716077,3.4506313623,2994.6875
-9.8644341309,-10.9566721473,1869.8203125
0.1359207681,1.9251383056,2946.75
-16.0598017098,2.3523434744,1876.25
1.8344299255,0.4303378676,3243.28125
-2.0162033635,-9.8975091671,2281.28125
5.0231666311,6.6640286304,2110.875
16.6223090813,-9.3233710944,2280.265625
-36.5828643226,-21.966362931,45.6533203125
5.735310956,11.8525313856,2792.9375
-11.6805959974,-4.965938396,2995.875
6.5105385427,-0.1312672266,3311.1875
-9.8478537834,-32.7728670611,39.6745605469
-19.5558789585,8.1758848497,2210.5
6.6448499967,12.7874593018,1849.125
-1.8611699596,3.2464359896,4091.78125
-9.082990908,4.3454345189,2990.03125
4.9913752547,4.601724529,1494.5625
-6.6710493429,-4.6185794013,3368.03125
